"","Indirect","Direct"
"1",0.00300574783976438,0.996994252160236
"2",0.000213277417434832,0.999786722582565
"3",4.91318253024771e-05,0.999950868174697
"4",8.1662502182765e-05,0.999918337497817
"5",1.6904368745623e-05,0.999983095631254
"6",3.31040129645212e-05,0.999966895987035
"7",0.00037522633397872,0.999624773666021
"8",0.0217573016354987,0.978242698364501
"9",0.981888846716344,0.0181111532836556
"10",0.993559213478842,0.00644078652115796
"11",3.31329988331733e-05,0.999966867001167
"12",4.52202465613548e-05,0.999954779753439
"13",0.00150882580645304,0.998491174193547
